m, repeat_after, max_value
527, 3270054, 6482
528, 1268155, 6419
529, None, None
530, 5307452, 7013
531, 3680095, 6831
532, 9462642, 6938
533, 13100830, 6826
534, 5088107, 6728
535, 4082893, 6914
536, 1643944, 6803
537, 3283944, 7093
538, 6255648, 7074
539, 112896, 6421
540, 8542845, 7114
541, 727798, 6682
542, 750494, 6520
543, 5971419, 6928
544, 4452700, 6778
545, 13127996, 7114
546, 900841, 6725
547, 4414790, 6910
548, 332832, 6806
549, 1091428, 6976
550, 10945436, 7214
551, 5657984, 7544
552, 18236369, 7162
553, 37135694, 7262
554, 28084832, 7664
555, 26423586, 7180
556, 3239592, 7388
557, 9960475, 7246
558, 4774492, 7288
559, 55134893, 7403
560, 79537553, 7558
561, 32815854, 7262
562, 61367961, 7534
563, 51311171, 8133
564, 14919036, 7526
565, 13471035, 7322
566, 410070, 7016
567, 16702693, 7558
568, 35884081, 7634
569, None, None
570, 47121422, 7682
571, 61744555, 7754
572, 26864033, 7408
573, 32324503, 7809
574, 15814164, 7390
575, 66527830, 7754
576, 81215217, 8046
577, 76697314, 7808
578, None, None
579, 44975288, 7766
