m,repeat_after,max_value,most common value in tail
312,519070,3847,2374
313,818010,4198,2630
314,5675434,4375,2630
315,2211475,4156,2630
316,578792,4076,2630
317,4730906,4400,2630
318,2896184,4506,2374
319,3379121,4379,2630
320,323794,3964,2634
321,79859,3637,2042
322,5836097,4375,2374
323,2049914,4504,2042
324,2468614,4408,2630
325,3558258,4414,2630
326,1699679,4318,2042
327,188168,3643,2042
328,592331,4122,2374
329,146043,4262,2042
330,1571368,4106,2634
331,2460943,4548,2634
332,1602317,4402,2042
333,945120,4634,2634
334,5708767,4586,2634
335,330120,3812,2634
336,25328,3553,2374
337,1141989,4672,2634
338,3408909,4678,2374
339,309895,3964,2374
340,1172827,4314,2634
341,2772368,4951,2042
342,3501544,4630,2634
343,61817,3369,2634
344,3136594,4636,2634
345,2097745,4994,2634
346,5417859,5216,2634
347,4717275,5018,2042
348,1517655,4542,2634
349,73272,3846,2634
350,5581902,5098,2634
351,656012,4738,2634
352,3954523,4618,2634
353,1034111,4742,2042
354,270901,4210,2374
355,165584,4016,2634
356,527687,5209,2634
357,217307,4316,2634
358,554804,5213,2042
359,216727,4038,2374
360,1190982,4622,2374
361,197262,4327,2042
362,1579287,4927,2374
363,1077819,4568,2634
364,1942536,5195,2042
365,1255774,5178,2634
366,644824,5226,2634
367,1373469,5378,2374
368,347709,4619,2634
369,3014790,5358,2634
370,332168,4892,2042
371,928321,4678,2042
372,170697,4685,2634
373,475484,4534,2374
374,971969,4834,2634
375,696902,4506,2634
376,1697725,5223,2634
377,995936,4826,2634
378,865836,5036,2042
379,187271,5262,2634
380,211996,4923,2634
381,1156409,5392,2634
382,500354,4442,2042
383,1658060,5290,2634
384,1758110,5348,2634
385,991670,5132,2634
386,1710622,5608,2374
387,732431,4334,2634
388,147510,4356,2042
389,581017,5239,2634
390,777978,5254,2634
391,1850060,5654,2042
392,375383,4701,2374
393,321032,5290,2042
394,2021336,5458,2634
395,1113311,5462,2042
396,1319647,4882,2374
397,490759,5692,2634
398,1001164,6103,2374
399,794851,4971,2634
400,106095,4618,2634
401,187852,5414,2374
402,653047,5043,2634
403,127231,5218,2374
404,383807,4985,2374
405,1870165,4958,2634
406,319951,5370,2374
407,314429,4622,2634
408,867848,5668,2374
409,262614,4422,2042
410,2207376,5294,2634
411,277047,4415,2374
412,982928,5606,2634
413,427865,4902,2634
414,358789,5710,2374
415,87416,4198,2042
416,794972,4929,2374
417,891344,4925,2634
418,2510595,5744,2634
419,297448,4948,2634
420,247309,5071,2642
421,545368,4927,2042
422,387055,4751,2634
423,969388,5706,2374
424,247378,5367,2634
425,283813,5553,2374
426,606578,4842,2634
427,339525,5219,2042
428,617656,5215,2642
429,481246,5209,2634
430,114473,4957,2518
431,180513,5158,2634
432,218020,5097,2642
433,1519913,5327,2638
434,352774,5218,2042
435,478546,5739,2642
436,1029598,5042,2374
437,563630,5461,2374
438,518554,5756,2638
439,2009062,5633,2374
440,2109386,5398,2374
441,331300,4982,2638
442,912329,5707,2374
443,55142,4101,2042
444,2544724,5806,2374
445,82881,5028,2638
446,1006535,5213,2042
447,958254,5517,2374
448,369050,5588,2374
449,2107860,5666,2638
450,833095,5724,2638
451,1691292,5496,2638
452,380315,5215,2642
453,12266930,5868,2374
454,1389475,5791,2638
455,2522614,5906,2374
456,1234177,5462,2518
457,530979,5468,2638
458,199245,5586,2638
459,684232,5987,2374
460,4417742,5906,2642
461,1622963,5791,2638
462,156180,6130,2638
463,4357053,5942,2042
464,565068,5714,2638
465,1012634,5876,2638
466,856007,6202,2638
467,4390206,5840,2638
468,1288234,5876,2638
469,807981,5932,2638
470,1098716,5876,2638
471,518541,5752,2642
472,5233967,6126,2642
473,6180519,5962,2638
474,129586,5752,2638
475,1582396,6198,2642
476,4009668,6122,3858
477,12374035,6242,2638
478,9953456,6238,2638
479,653816,6275,2638
480,1293128,5962,2642
481,2240813,5816,2642
482,3489104,6546,2638
483,3695454,6103,2638
484,2621179,6194,2642
485,2087383,6346,2374
486,3848020,6114,2638
487,3182934,6418,4082
488,9998979,6822,2642
489,4206253,6620,2638
490,2801826,6242,2374
491,1601495,5948,2638
492,798791,6725,2374
493,13908650,6431,2638
494,15871696,6428,2638
495,2371192,6425,2638
496,2210972,6391,2638
497,4920857,6425,4082
498,7095396,6391,2638
499,1884418,6689,2638
500,2516707,6988,2638
501,9166173,6418,2642
502,13325110,6378,2642
503,2987938,6794,2638
504,4235224,6446,2374
505,17028012,6428,2638
506,1845102,6204,2638
507,4922525,6466,2642
508,1370336,6470,2638
509,23788801,6800,2638
510,24076248,6808,2642
511,12111211,6746,2638
512,908960,6458,2642
513,13821233,6798,2642
514,33916202,6724,2638
515,4691096,7081,2374
516,23568958,6724,2638
517,3245929,6706,2642
518,33854988,7252,2638
519,27559879,7091,2638
520,1836201,6850,2638
521,51934754,7102,2638
522,7160409,7062,2638
523,15612935,6822,4610
524,58841142,7204,4254
525,16819414,6992,2374
526,2179610,7024,2642
527,3269527,6482,2638
528,1267627,6419,4254
529,101283718,7066,4254
530,5306922,7013,2642
531,3679564,6831,4254
532,9462110,6938,4254
533,13100297,6826,4610
